Label,RMS,RMS_filt,Spectral_centroid,Spectral_centroid_filt,Zero-Cross,Zero-Cross_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Dry gravel,3718.0770263732015,3468.266662862564,6058,6520,1250.2701597171474,1315.7857926714253,-3.595842284763609e-08,-3.4393840164956515e-08,958.1966915321169,940.4444644429971,3718.0769372392333,3468.2663631038804
Dry gravel,3102.7258242847097,2858.4618141107626,5997,6481,1224.846232135175,1297.5366166620672,-3.656557315706246e-08,-3.4829649810226056e-08,948.9937925171809,931.3704182130143,3102.725269502899,2858.461801165767
Dry gravel,2707.1832733678034,2529.1521428767596,5906,6227,1237.6954058124943,1305.3479967671358,-3.6258721284986274e-08,-3.4643105782654074e-08,974.1265578895818,965.1925322841547,2707.1829130233095,2529.150893527816
Dry gravel,2675.074435267783,2421.6970583556517,5673,6090,1186.9852811273925,1260.5376470083224,-3.746973275417566e-08,-3.571322437994188e-08,983.493585631424,964.5375602256491,2675.0719099746484,2421.6970532210566
Dry gravel,2278.440173969274,2101.060080591825,5617,6155,1257.5167738593757,1328.718374325194,-3.5785366029229046e-08,-3.408499642209063e-08,1012.9892026880304,996.9720709920356,2278.4399308256566,2101.0599916429505
Dry gravel,1980.4524358404276,1827.2144575522796,5042,5455,1220.2679884581144,1290.2557387243287,-3.6674906463499644e-08,-3.5003524884348276e-08,1041.278383180048,1031.8798891481706,1980.450093372207,1827.2141807666083
Dry gravel,2232.929808984728,2152.351200320091,6056,6273,1336.8652146128368,1386.9523298884283,-3.389044125017466e-08,-3.269430790532464e-08,1045.983938837945,1034.6783325988463,2232.92925340501,2152.3511658115913
Dry gravel,2286.307882079176,2119.3995355080647,5167,5646,1274.8142185458537,1343.606006902073,-3.5372284735639795e-08,-3.3729463993179545e-08,1036.9755829316007,1019.2514959286013,2286.3076585989593,2119.3994999683537
Dry gravel,2050.014345949795,1876.304675804092,5294,5700,1190.0815548176276,1260.109714812161,-3.73957904601287e-08,-3.57234438538794e-08,995.4857886701924,982.7039817469831,2050.0141304189724,1876.3044966481264
Dry gravel,2021.3458339349636,1824.8972039841076,5080,5587,1141.1842810238916,1212.818351927731,-3.856350913059185e-08,-3.685281167149526e-08,964.9543524265209,946.7871183614093,2021.3447091378075,1824.8965552510808
Dry gravel,1993.2015387435342,1719.1958674992366,5037,5575,1124.207665648118,1213.5071601086934,-3.896892868054849e-08,-3.6836362202826105e-08,985.9238779450545,970.0070431600225,1993.1983160244629,1719.1954549120976
Dry gravel,1718.7040782086065,1582.8231868468326,4953,5413,1172.2827054528318,1239.7898797680157,-3.7820845828321756e-08,-3.620870302930645e-08,1006.4134294154566,995.0604992235864,1718.7039666060855,1582.823037246556
Dry gravel,1534.0835415507136,1341.0380574720625,4290,4745,1039.7642472055152,1123.6303775143417,-4.098552692136478e-08,-3.8982714932413796e-08,971.3906076599585,966.9074441497918,1534.08264209134,1341.0378080989508
